item_title,orders_containing,units_sold,avg_price,classification,reason,classification_v3,v3_reason,was_mystery
Heather Gray Ankle Compression Socks,647,834,28.1,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Boreal Bears Ankle Compression Socks,790,830,28.87,PATTERN,"unrecognized non-color tokens: ['boreal', 'bears']",PATTERN,unchanged from v2,
Sapphire Sky Ankle Compression Socks,724,829,27.81,PATTERN,unrecognized non-color tokens: ['sapphire'],PATTERN,unchanged from v2,
Dusk Ankle Compression Socks,767,826,28.92,PATTERN,unrecognized non-color tokens: ['dusk'],PATTERN,unchanged from v2,
Amethyst Purple Ankle Compression Socks,751,825,27.67,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Cosmic Swirl EasyStretch™ Socks,770,821,28.09,PATTERN,"unrecognized non-color tokens: ['cosmic', 'swirl']",PATTERN,unchanged from v2,
Arctic Aurora EasyStretch™ Socks 5-Pack Bundle,771,819,56.28,PATTERN,matched: ['aurora'],PATTERN,unchanged from v2,
Frozen Fractals Ankle Compression Socks,745,818,29.01,PATTERN,"unrecognized non-color tokens: ['frozen', 'fractals']",PATTERN,unchanged from v2,
Polar Penguins Ankle Compression Socks,758,818,28.85,PATTERN,"unrecognized non-color tokens: ['polar', 'penguins']",PATTERN,unchanged from v2,
Daisy Delight EasyStretch™ Socks,752,816,28.83,PATTERN,"unrecognized non-color tokens: ['daisy', 'delight']",PATTERN,unchanged from v2,
Snow Homes Compression Socks,772,814,29.18,PATTERN,matched: ['snow'],PATTERN,unchanged from v2,
Desert Camo EasyStretch™ Socks,723,813,27.24,PATTERN,"matched: ['desert', 'camo']",PATTERN,unchanged from v2,
Winter Blues Ankle Compression Socks,739,809,28.95,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Snowy Night Ankle Compression Socks,734,808,29.09,PATTERN,"unrecognized non-color tokens: ['snowy', 'night']",PATTERN,unchanged from v2,
Star & Moon Ankle Socks,728,800,26.84,PATTERN,"matched: ['star', 'moon']",PATTERN,unchanged from v2,
Black Compression Gripper Socks,498,798,30.64,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Daisy Delight Ankle Compression Socks,758,796,27.72,PATTERN,"unrecognized non-color tokens: ['daisy', 'delight']",PATTERN,unchanged from v2,
Rainbow Ankle Compression Socks,710,796,28.91,PATTERN,matched: ['rainbow'],PATTERN,unchanged from v2,
Emerald Green Ankle Compression Socks,725,792,27.56,SOLID,"only color+type tokens: ['emerald', 'green', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Dawn Ankle Compression Socks,739,790,28.92,PATTERN,unrecognized non-color tokens: ['dawn'],PATTERN,unchanged from v2,
Heather Navy Ankle Compression Socks,619,790,26.45,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Snowy Night EasyStretch™ Socks,712,789,28.83,PATTERN,"unrecognized non-color tokens: ['snowy', 'night']",PATTERN,unchanged from v2,
Fairy Dust EasyStretch™ Socks,728,788,27.36,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
Rose Bouquet Ankle Compression Socks,742,788,27.65,PATTERN,matched: ['rose'],PATTERN,unchanged from v2,
Teddys Ankle Compression Socks,720,788,29.03,PATTERN,unrecognized non-color tokens: ['teddys'],PATTERN,unchanged from v2,
Red Plaid Ankle Compression Socks,715,787,28.97,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Midnight Ink EasyStretch™ Socks,708,781,27.81,PATTERN,unrecognized non-color tokens: ['ink'],PATTERN,unchanged from v2,
Knitty Kitty Compression Socks,717,779,28.98,PATTERN,"unrecognized non-color tokens: ['knitty', 'kitty']",PATTERN,unchanged from v2,
Night Blooms Ankle Compression Socks,720,774,27.72,PATTERN,"unrecognized non-color tokens: ['night', 'blooms']",PATTERN,unchanged from v2,
Frozen Fractals  EasyStretch™ Socks,691,769,28.85,PATTERN,"unrecognized non-color tokens: ['frozen', 'fractals']",PATTERN,unchanged from v2,
Boreal Bears  EasyStretch™ Socks,687,769,28.82,PATTERN,"unrecognized non-color tokens: ['boreal', 'bears']",PATTERN,unchanged from v2,
Wrapped Up EasyStretch™ Socks,716,766,28.55,PATTERN,unrecognized non-color tokens: ['wrapped'],PATTERN,unchanged from v2,
Deer Dance Compression Socks,720,761,28.98,PATTERN,"unrecognized non-color tokens: ['deer', 'dance']",PATTERN,unchanged from v2,
Camo Ankle Socks,619,761,26.88,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Heather Purple EasyStretch™ Socks,696,758,27.24,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Heather Purple Ankle Compression Socks,666,756,27.57,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Snowballs Compression Socks,714,755,29.04,PATTERN,unrecognized non-color tokens: ['snowballs'],PATTERN,unchanged from v2,
VIP Club Membership,748,753,22.98,PATTERN,matched: ['club'],PATTERN,unchanged from v2,
Fall Floral EasyStretch™ Socks,698,752,28.35,PATTERN,"matched: ['fall', 'floral']",PATTERN,unchanged from v2,
Ruby Red Ankle Compression Socks,703,752,27.52,SOLID,"only color+type tokens: ['ruby', 'red', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Polar Penguins  EasyStretch™ Socks,669,750,28.83,PATTERN,"unrecognized non-color tokens: ['polar', 'penguins']",PATTERN,unchanged from v2,
Pearl Compression Socks,660,748,28.17,PATTERN,unrecognized non-color tokens: ['pearl'],PATTERN,unchanged from v2,
Espresso Compression Socks,606,748,28.38,PATTERN,unrecognized non-color tokens: ['espresso'],PATTERN,unchanged from v2,
Kaleidoscope Ankle Compression Socks,706,745,27.35,PATTERN,matched: ['kaleidoscope'],PATTERN,unchanged from v2,
Dark Lavender Compression Socks,709,745,28.51,PATTERN,unrecognized non-color tokens: ['dark'],PATTERN,unchanged from v2,
Sweater Weather Compression Socks,700,742,29.01,PATTERN,"unrecognized non-color tokens: ['sweater', 'weather']",PATTERN,unchanged from v2,
Winter Blues EasyStretch™ Socks,679,741,28.79,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Heather Green Ankle Compression Socks,684,741,27.65,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Cobalt Compression Socks,657,741,28.41,PATTERN,unrecognized non-color tokens: ['cobalt'],PATTERN,unchanged from v2,
Amethyst EasyStretch™ Socks,660,737,28.25,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Christmas Forest Compression Socks,693,737,29.06,PATTERN,"matched: ['christmas', 'forest']",PATTERN,unchanged from v2,
Heather Blue Ankle Compression Socks,644,736,29.04,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Penguin Pals Compression Socks,707,733,28.86,PATTERN,matched: ['penguin'],PATTERN,unchanged from v2,
Pearl EasyStretch™ Socks,615,731,27.95,PATTERN,unrecognized non-color tokens: ['pearl'],PATTERN,unchanged from v2,
Pop of Poppy Ankle Compression Socks,685,725,27.54,PATTERN,"unrecognized non-color tokens: ['pop', 'poppy']",PATTERN,unchanged from v2,
Winter Peanuts Compression Socks 5-Pack Bundle,701,723,57.43,PATTERN,"matched: ['winter', 'peanuts']",PATTERN,unchanged from v2,
Black Grey Ankle Compression Socks,602,722,25.22,SOLID,"only color+type tokens: ['black', 'grey', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Blue Ankle Compression Socks,637,712,25.3,SOLID,"only color+type tokens: ['blue', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Teddys Compression Socks,655,709,29.07,PATTERN,unrecognized non-color tokens: ['teddys'],PATTERN,unchanged from v2,
Pet Garden EasyStretch™ Socks Bundle 5-Pack,691,708,54.5,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['pet', 'garden']",
Deer Dance Ankle Compression Socks,656,706,28.62,PATTERN,"unrecognized non-color tokens: ['deer', 'dance']",PATTERN,unchanged from v2,
Purple Haze EasyStretch™ Socks,647,705,28.21,PATTERN,unrecognized non-color tokens: ['haze'],PATTERN,unchanged from v2,
White EasyStretch™ Socks Bundle 5-Pack,636,704,57.32,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Dogs Ankle Socks,637,703,27.09,PATTERN,matched: ['dogs'],PATTERN,unchanged from v2,
Heather Blue EasyStretch™ Socks,621,700,28.2,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Dawn EasyStretch™ Socks,662,699,28.39,PATTERN,unrecognized non-color tokens: ['dawn'],PATTERN,unchanged from v2,
Midnight Sun EasyStretch™ Socks,655,696,27.83,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Kaleidoscope EasyStretch™ Socks,667,694,28.39,PATTERN,matched: ['kaleidoscope'],PATTERN,unchanged from v2,
Aurora Ankle Compression Socks,648,694,29.08,PATTERN,matched: ['aurora'],PATTERN,unchanged from v2,
Checks & Bows Compression Socks,668,690,29.16,PATTERN,"unrecognized non-color tokens: ['checks', 'bows']",PATTERN,unchanged from v2,
Pastel Pond Ankle Socks,651,685,27.0,PATTERN,"unrecognized non-color tokens: ['pastel', 'pond']",PATTERN,unchanged from v2,
Snoopy Lights Ankle Compression Socks,622,681,28.76,PATTERN,"matched: ['snoopy', 'lights']",PATTERN,unchanged from v2,
Cosmic Pink Ankle Compression Socks,622,681,25.29,PATTERN,unrecognized non-color tokens: ['cosmic'],PATTERN,unchanged from v2,
Checks & Bows EasyStretch™ Socks,624,676,28.99,PATTERN,"unrecognized non-color tokens: ['checks', 'bows']",PATTERN,unchanged from v2,
Bouquet Ankle Socks,625,676,27.1,PATTERN,unrecognized non-color tokens: ['bouquet'],PATTERN,unchanged from v2,
Winter Woodstock Ankle Compression Socks,633,676,28.8,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Highland Roses EasyStretch™ Socks,573,674,27.69,PATTERN,"unrecognized non-color tokens: ['highland', 'roses']",PATTERN,unchanged from v2,
Wrapped Up Compression Socks,632,670,29.26,PATTERN,unrecognized non-color tokens: ['wrapped'],PATTERN,unchanged from v2,
Lucky Lotus Ankle Compression Socks,633,667,27.13,PATTERN,"unrecognized non-color tokens: ['lucky', 'lotus']",PATTERN,unchanged from v2,
Peppermint Parade Ankle Compression Socks,612,666,28.84,PATTERN,"unrecognized non-color tokens: ['peppermint', 'parade']",PATTERN,unchanged from v2,
Emerald Green EasyStretch™ Socks,632,665,28.34,SOLID,"only color+type tokens: ['emerald', 'green', 'easystretch', 'socks']",SOLID,unchanged from v2,
Celestial Dragons Ankle Compression Socks,548,661,25.41,PATTERN,matched: ['celestial'],PATTERN,unchanged from v2,
Black Ankle Compression Socks Bundle 3-Pack,630,658,38.86,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Wallflowers Ankle Compression Socks,625,655,27.35,PATTERN,unrecognized non-color tokens: ['wallflowers'],PATTERN,unchanged from v2,
Night Bloom Ankle Compression Socks,588,655,25.63,PATTERN,"unrecognized non-color tokens: ['night', 'bloom']",PATTERN,unchanged from v2,
Flower Power Compression Socks 3-Pack,632,652,40.52,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Amethyst Compression Socks,590,646,28.05,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Purple Haze Compression Socks,612,646,28.43,PATTERN,unrecognized non-color tokens: ['haze'],PATTERN,unchanged from v2,
EasyStretch Buy 3 Get 6 Free Mystery Offer,640,645,89.97,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Ankle Compression Mystery Buy 2 Get 4 Free,640,640,59.88,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Ruby Red EasyStretch™ Socks,610,640,28.45,SOLID,"only color+type tokens: ['ruby', 'red', 'easystretch', 'socks']",SOLID,unchanged from v2,
Cosmic Classics EasyStretch™ Socks Bundle 5-Pack,627,639,54.51,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['cosmic'],
Prarie Cows EasyStretch™ Socks,559,638,27.75,PATTERN,"unrecognized non-color tokens: ['prarie', 'cows']",PATTERN,unchanged from v2,
Fairy Woods Ankle Compression Socks,564,634,25.61,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
White Ankle Compression Socks Bundle 3-Pack,605,632,40.13,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Amber Blooms EasyStretch™ Socks,607,631,28.51,PATTERN,"unrecognized non-color tokens: ['amber', 'blooms']",PATTERN,unchanged from v2,
Skulls N Roses Ankle Compression Socks,551,630,25.8,PATTERN,"unrecognized non-color tokens: ['skulls', 'roses']",PATTERN,unchanged from v2,
Nebula Ankle Compression Socks,570,625,25.57,PATTERN,unrecognized non-color tokens: ['nebula'],PATTERN,unchanged from v2,
Spirit Animals Ankle Compression Socks,564,625,25.49,PATTERN,"unrecognized non-color tokens: ['spirit', 'animals']",PATTERN,unchanged from v2,
Sage Compression Socks,577,622,28.27,SOLID,"only color+type tokens: ['sage', 'compression', 'socks']",SOLID,unchanged from v2,
Knitty Kitty Ankle Compression Socks,556,621,28.66,PATTERN,"unrecognized non-color tokens: ['knitty', 'kitty']",PATTERN,unchanged from v2,
Black Red Ankle Compression Socks,558,618,25.74,SOLID,"only color+type tokens: ['black', 'red', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Midnight Ink Compression Socks,564,615,28.33,PATTERN,unrecognized non-color tokens: ['ink'],PATTERN,unchanged from v2,
Red Plaid Compression Socks,559,611,28.73,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Wallflowers EasyStretch™ Socks,565,608,28.66,PATTERN,unrecognized non-color tokens: ['wallflowers'],PATTERN,unchanged from v2,
Frozen Fractals Compression Socks,552,607,29.1,PATTERN,"unrecognized non-color tokens: ['frozen', 'fractals']",PATTERN,unchanged from v2,
Scotch Plaid Compression Socks,564,607,28.92,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Fall Floral Ankle Compression Socks,578,606,28.71,PATTERN,"matched: ['fall', 'floral']",PATTERN,unchanged from v2,
Fuchsia EasyStretch™ Socks,544,606,28.43,PATTERN,unrecognized non-color tokens: ['fuchsia'],PATTERN,unchanged from v2,
Love Stinks EasyStretch™ Socks,583,601,29.99,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Christmas Plaid Compression Socks,565,600,28.71,PATTERN,"matched: ['christmas', 'plaid']",PATTERN,unchanged from v2,
Skulls N Roses Compression Socks,532,598,25.9,PATTERN,"unrecognized non-color tokens: ['skulls', 'roses']",PATTERN,unchanged from v2,
Grey Tartan Compression Socks,563,597,28.77,PATTERN,unrecognized non-color tokens: ['tartan'],PATTERN,unchanged from v2,
Fall Floral Compression Socks,560,595,28.45,PATTERN,"matched: ['fall', 'floral']",PATTERN,unchanged from v2,
Celestial Dragons Compression Socks,518,592,25.54,PATTERN,matched: ['celestial'],PATTERN,unchanged from v2,
Nebula Compression Socks,532,590,25.47,PATTERN,unrecognized non-color tokens: ['nebula'],PATTERN,unchanged from v2,
Udderly Plaid EasyStretch™ Socks,545,589,27.93,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Desert Camo Compression Socks,537,588,25.55,PATTERN,"matched: ['desert', 'camo']",PATTERN,unchanged from v2,
Winter Plaid EasyStretch™ Socks 5-Pack Bundle,567,587,57.0,PATTERN,"matched: ['winter', 'plaid']",PATTERN,unchanged from v2,
Orca Dance EasyStretch™ Socks,538,586,27.36,PATTERN,"unrecognized non-color tokens: ['orca', 'dance']",PATTERN,unchanged from v2,
Green Plaid Compression Socks,548,584,28.91,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Moo Print EasyStretch™ Socks,536,583,27.99,PATTERN,matched: ['print'],PATTERN,unchanged from v2,
Grey Tartan Ankle Compression Socks,545,583,28.79,PATTERN,unrecognized non-color tokens: ['tartan'],PATTERN,unchanged from v2,
Cosmic Classics Ankle Compression Socks 5-Pack Bundle,578,583,56.99,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['cosmic'],
Spirit Stallions EasyStretch™ Socks,516,580,28.44,PATTERN,"unrecognized non-color tokens: ['spirit', 'stallions']",PATTERN,unchanged from v2,
Sage EasyStretch™ Socks,535,579,27.82,SOLID,"only color+type tokens: ['sage', 'easystretch', 'socks']",SOLID,unchanged from v2,
Cosmic Classics Compression Socks Bundle 5-Pack,573,577,54.57,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['cosmic'],
Night Bloom EasyStretch™ Socks,521,572,26.91,PATTERN,"unrecognized non-color tokens: ['night', 'bloom']",PATTERN,unchanged from v2,
Classic Charlie Brown EasyStretch™ Socks,543,569,29.99,PATTERN,matched: ['classic'],PATTERN,unchanged from v2,
Cosmic Pink Compression Socks,529,568,25.66,PATTERN,unrecognized non-color tokens: ['cosmic'],PATTERN,unchanged from v2,
Fairy Woods EasyStretch™ Socks,520,567,27.08,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
Spirit Animals EasyStretch™ Socks,509,567,26.85,PATTERN,"unrecognized non-color tokens: ['spirit', 'animals']",PATTERN,unchanged from v2,
Winter Blues Compression Socks,529,565,29.04,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Winter Forest Ankle Compression Socks,534,565,25.89,PATTERN,"matched: ['winter', 'forest']",PATTERN,unchanged from v2,
Navy Blue EasyStretch™ Gripper Socks,400,565,32.25,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Boreal Bears Compression Socks,526,565,29.08,PATTERN,"unrecognized non-color tokens: ['boreal', 'bears']",PATTERN,unchanged from v2,
Amethyst Purple Compression Socks,515,561,26.82,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Amber Blooms Compression Socks,531,561,28.48,PATTERN,"unrecognized non-color tokens: ['amber', 'blooms']",PATTERN,unchanged from v2,
Sweethearts EasyStretch™ Socks,510,560,28.1,PATTERN,unrecognized non-color tokens: ['sweethearts'],PATTERN,unchanged from v2,
Dusk Compression Socks,517,560,28.49,PATTERN,unrecognized non-color tokens: ['dusk'],PATTERN,unchanged from v2,
Deep Sea Ankle Socks,529,559,26.2,PATTERN,matched: ['sea'],PATTERN,unchanged from v2,
Bobsled Beagle Ankle Compression Socks,526,558,28.55,PATTERN,"unrecognized non-color tokens: ['bobsled', 'beagle']",PATTERN,unchanged from v2,
Mystic Yeti Ankle Compression Socks,519,558,25.82,PATTERN,"unrecognized non-color tokens: ['mystic', 'yeti']",PATTERN,unchanged from v2,
Polar Penguins Compression Socks,527,558,29.01,PATTERN,"unrecognized non-color tokens: ['polar', 'penguins']",PATTERN,unchanged from v2,
Flower Power Ankle Compression Socks Bundle 3-Pack,546,556,40.77,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Gothic Ankle Compression Socks,511,556,26.08,PATTERN,unrecognized non-color tokens: ['gothic'],PATTERN,unchanged from v2,
Green Navy Ankle Compression Socks,522,556,25.83,SOLID,"only color+type tokens: ['green', 'navy', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Winter Wolf Ankle Compression Socks,511,556,26.15,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Emerald EasyStretch™ Socks,494,555,28.07,SOLID,"only color+type tokens: ['emerald', 'easystretch', 'socks']",SOLID,unchanged from v2,
Heather Navy Compression Socks,419,555,25.47,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Christmas Plaid Ankle Compression Socks,511,555,28.66,PATTERN,"matched: ['christmas', 'plaid']",PATTERN,unchanged from v2,
Love Stripes EasyStretch™ Socks,518,555,27.86,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Dawn Compression Socks,515,554,28.52,PATTERN,unrecognized non-color tokens: ['dawn'],PATTERN,unchanged from v2,
Snowy Night Compression Socks,517,553,29.05,PATTERN,"unrecognized non-color tokens: ['snowy', 'night']",PATTERN,unchanged from v2,
Vanilla Ankle Compression Socks,395,552,25.14,PATTERN,unrecognized non-color tokens: ['vanilla'],PATTERN,unchanged from v2,
Winter Woodstock EasyStretch™ Socks,452,550,24.6,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Gothic Compression Socks,504,547,26.13,PATTERN,unrecognized non-color tokens: ['gothic'],PATTERN,unchanged from v2,
Seahorse Pink EasyStretch™ Socks,518,547,28.46,PATTERN,unrecognized non-color tokens: ['seahorse'],PATTERN,unchanged from v2,
Aurora Compression Socks,518,545,28.5,PATTERN,matched: ['aurora'],PATTERN,unchanged from v2,
Night Blooms Compression Socks,507,543,25.67,PATTERN,"unrecognized non-color tokens: ['night', 'blooms']",PATTERN,unchanged from v2,
Pink Plaid EasyStretch™ Socks,498,543,27.95,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Heather Gray Compression Socks,425,542,28.43,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Winter Wolf Compression Socks,498,540,25.59,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Scotch Plaid Ankle Compression Socks,495,540,28.49,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Cat Lovers EasyStretch™ Socks 3-Pack Bundle,520,540,40.59,PATTERN,matched: ['cat'],PATTERN,unchanged from v2,
Little Big Foot Ankle Compression Socks,517,538,25.88,PATTERN,"unrecognized non-color tokens: ['little', 'big', 'foot']",PATTERN,unchanged from v2,
Sasquatch Woods Compression Socks,499,537,25.86,PATTERN,"unrecognized non-color tokens: ['sasquatch', 'woods']",PATTERN,unchanged from v2,
Night Bloom Compression Socks,476,536,26.07,PATTERN,"unrecognized non-color tokens: ['night', 'bloom']",PATTERN,unchanged from v2,
Pastel Plaid Ankle Compression Socks,490,535,24.89,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Ankle Compression Socks,201,534,28.85,SOLID,"only color+type tokens: ['ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Sunrise Compression Socks,503,534,28.77,PATTERN,unrecognized non-color tokens: ['sunrise'],PATTERN,unchanged from v2,
Celestial Dragons EasyStretch™ Socks,446,532,28.03,PATTERN,matched: ['celestial'],PATTERN,unchanged from v2,
Winter Forest Compression Socks,505,532,25.71,PATTERN,"matched: ['winter', 'forest']",PATTERN,unchanged from v2,
Dark Secrets Compression Socks,494,532,26.2,PATTERN,"unrecognized non-color tokens: ['dark', 'secrets']",PATTERN,unchanged from v2,
Winter Wolf EasyStretch™ Socks,475,531,27.36,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Sun Days Compression Socks,506,531,28.41,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Winter Camo Compression Socks,496,531,25.75,PATTERN,"matched: ['winter', 'camo']",PATTERN,unchanged from v2,
Light Lavender Compression Socks,503,530,27.94,PATTERN,unrecognized non-color tokens: ['light'],PATTERN,unchanged from v2,
Black Grey Compression Socks,477,530,25.54,SOLID,"only color+type tokens: ['black', 'grey', 'compression', 'socks']",SOLID,unchanged from v2,
Orcas Ankle Socks,492,528,25.1,PATTERN,unrecognized non-color tokens: ['orcas'],PATTERN,unchanged from v2,
Emerald Green Compression Socks,487,528,25.47,SOLID,"only color+type tokens: ['emerald', 'green', 'compression', 'socks']",SOLID,unchanged from v2,
Fairy Woods Compression Socks,477,528,26.23,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
Green Ankle Compression Socks,498,526,26.08,SOLID,"only color+type tokens: ['green', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Sun Days EasyStretch™ Socks,482,525,28.5,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Heather Blue Compression Socks,470,525,28.69,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Boo Blossoms Compression Socks,509,523,28.15,PATTERN,matched: ['blossoms'],PATTERN,unchanged from v2,
Moonlight EasyStretch™ Socks 3-Pack Bundle,502,522,41.8,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['moonlight'],
Heather Green EasyStretch™ Socks,486,521,28.28,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Rainbow Compression Socks,460,520,28.57,PATTERN,matched: ['rainbow'],PATTERN,unchanged from v2,
Boo Blossoms EasyStretch™ Socks,493,517,28.04,PATTERN,matched: ['blossoms'],PATTERN,unchanged from v2,
Sapphire Sky Compression Socks,444,516,25.58,PATTERN,unrecognized non-color tokens: ['sapphire'],PATTERN,unchanged from v2,
Wallflowers Compression Socks,496,515,25.85,PATTERN,unrecognized non-color tokens: ['wallflowers'],PATTERN,unchanged from v2,
Rose Bouquet Compression Socks,488,513,25.61,PATTERN,matched: ['rose'],PATTERN,unchanged from v2,
Purple Haze Ankle Compression Socks,474,513,28.38,PATTERN,unrecognized non-color tokens: ['haze'],PATTERN,unchanged from v2,
Aurora EasyStretch™ Socks,471,512,27.93,PATTERN,matched: ['aurora'],PATTERN,unchanged from v2,
Winter Camo Ankle Compression Socks,473,509,26.09,PATTERN,"matched: ['winter', 'camo']",PATTERN,unchanged from v2,
Bear Hugs EasyStretch™ Socks,473,509,28.39,PATTERN,matched: ['bear'],PATTERN,unchanged from v2,
Skulls N Roses EasyStretch™ Socks,448,507,27.31,PATTERN,"unrecognized non-color tokens: ['skulls', 'roses']",PATTERN,unchanged from v2,
Pop of Poppy EasyStretch™ Socks,476,507,28.58,PATTERN,"unrecognized non-color tokens: ['pop', 'poppy']",PATTERN,unchanged from v2,
Fairy Dust Compression Socks,457,505,25.72,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
Good Grief EasyStretch™ Socks,473,504,29.97,PATTERN,"unrecognized non-color tokens: ['good', 'grief']",PATTERN,unchanged from v2,
Autumn Breeze Compression Socks,480,503,28.06,PATTERN,matched: ['autumn'],PATTERN,unchanged from v2,
Ruff Life Ankle Socks,461,502,27.58,PATTERN,"unrecognized non-color tokens: ['ruff', 'life']",PATTERN,unchanged from v2,
Mystery Compression Socks Bundle 6-Pack,488,502,78.95,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Spirit Animals Compression Socks,441,501,26.06,PATTERN,"unrecognized non-color tokens: ['spirit', 'animals']",PATTERN,unchanged from v2,
Daisy Delight Compression Socks,485,500,25.74,PATTERN,"unrecognized non-color tokens: ['daisy', 'delight']",PATTERN,unchanged from v2,
Pop of Poppy Compression Socks,474,500,25.75,PATTERN,"unrecognized non-color tokens: ['pop', 'poppy']",PATTERN,unchanged from v2,
Elephant Safari EasyStretch™ Socks,458,498,28.37,PATTERN,matched: ['elephant'],PATTERN,unchanged from v2,
Midnight Ink Ankle Compression Socks,437,498,28.6,PATTERN,unrecognized non-color tokens: ['ink'],PATTERN,unchanged from v2,
Fuchsia Compression Socks,476,496,27.75,PATTERN,unrecognized non-color tokens: ['fuchsia'],PATTERN,unchanged from v2,
Light Lavender EasyStretch™ Socks,474,496,27.83,PATTERN,unrecognized non-color tokens: ['light'],PATTERN,unchanged from v2,
Midnight Sun Compression Socks,464,494,28.29,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Pastel Pink Ankle Compression Socks,397,494,25.62,PATTERN,unrecognized non-color tokens: ['pastel'],PATTERN,unchanged from v2,
Heather Green Compression Socks,451,493,25.6,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Blue Beauty Compression Socks,457,493,28.63,PATTERN,unrecognized non-color tokens: ['beauty'],PATTERN,unchanged from v2,
Cosmic Swirl Ankle Compression Socks,461,490,28.52,PATTERN,"unrecognized non-color tokens: ['cosmic', 'swirl']",PATTERN,unchanged from v2,
